name,provider,image
Mega Multis,Rubber Duck Gaming,https://mediumrare.imgix.net/742fc4e8eb3badbbc3d6498423d2f9cc8c279c6c5bbe82eaee707148a6ba6885?w=180&h=236&fit=min&auto=format
Stumble Guy,Paradice Gaming,https://mediumrare.imgix.net/af78aee35318a5400037aadfa7e7afefe416eb4b95b7c9e23cfa8be6b2632e1b?w=180&h=236&fit=min&auto=format
Tiki Pachinko,Mirror Image Gaming,https://mediumrare.imgix.net/d17ea627572673a3f3670a0bbadbfff046e85ecd996210f94156faa1bc103752?w=180&h=236&fit=min&auto=format
Blast Blitz,MadLab Gaming,https://mediumrare.imgix.net/eb804f4686bb7479f94046ea063f60d4c09f9f3f9e02fb41c29da284365de098?w=180&h=236&fit=min&auto=format
Grand Prix Fortunes,18 Gaming,https://mediumrare.imgix.net/f887d335bf9f3a88111776b170239bcaffdd0257fd9c480e7cecaf176c47d94d?w=180&h=236&fit=min&auto=format
Sushi Jet Dash,18 Gaming,https://mediumrare.imgix.net/8a1bb4cde22aaf1e32ae6c2fbfb384565cb57da56ffff3715785f6d897c2387e?w=180&h=236&fit=min&auto=format
Black Forest Treasures Lock and Spin,Novomatic,https://mediumrare.imgix.net/8b3191683c42577720a39dea8372a78aff1b8206b6d32a0cdf2d808010f0369b?w=180&h=236&fit=min&auto=format
Thor's Rage,Red Tiger,https://mediumrare.imgix.net/469c9092a02f4edd3b57b04499a12f6da0cf65ebd1d65ff0134b5df130b3b82f?w=180&h=236&fit=min&auto=format
Phoenix Graveyard 2,ELK Studios,https://mediumrare.imgix.net/12247bf3b170b048aa3ed71bf6c42b2f2e9a2477b247b85d9791da66e9fc6529?w=180&h=236&fit=min&auto=format
Cash Grotto,VoltEnt,https://mediumrare.imgix.net/5b690adbcb2cca6e8473c0bf4e4fce2b53a2290ded7e1c088feafc05252945ab?w=180&h=236&fit=min&auto=format
Dig It,Peter & Sons,https://mediumrare.imgix.net/041842c821d45ec71d5a06fc54617125694f66c77cc6bd792533f7b24893aa60?w=180&h=236&fit=min&auto=format
Wild Swarm Triple Hive,Push Gaming,https://mediumrare.imgix.net/475890bc3e32bc5c5139d1e9b2d59594f891011e1bbe8d032ef3e4ceffe291fb?w=180&h=236&fit=min&auto=format
Sweet Bonanza Super Scatter,Pragmatic Play,https://mediumrare.imgix.net/2e0fb5d8d19a26f8dabafc4076ce81c7eb653a613219a9fbb7cc44ec936ce993?w=180&h=236&fit=min&auto=format
Super Flip Deluxe,Play'n Go,https://mediumrare.imgix.net/de24367ae552522c0a5ef3c44b651c10091ab767ae1cdffff73d1ec1bde6d474?w=180&h=236&fit=min&auto=format
Big Tuna Bonanza,BGaming,https://mediumrare.imgix.net/a80fe81be2a98a121bdbf7b19ab74d76c4f1d6b1205f158ff5305953bba94de9?w=180&h=236&fit=min&auto=format
Conquer Babylon,Relax Gaming,https://mediumrare.imgix.net/f07568dc1f05eaccc7841d573c6a8aaaffab9cf021f16308281de3c5a6d25122?w=180&h=236&fit=min&auto=format
Miami Mayhem,Hacksaw Gaming,https://mediumrare.imgix.net/156279d1e04bcfd0c2692d46de3434704196a1b79489c2bf61f690f8f260f6a2?w=180&h=236&fit=min&auto=format
Sugar Park,Hacksaw OpenRGS,https://mediumrare.imgix.net/403b214afb44dad380c00c5ecb78b42984339d8a94e96a3e80d2e7011778c5e5?w=180&h=236&fit=min&auto=format
Galaxy Miner,PG Soft,https://mediumrare.imgix.net/e682e8740cb65b3620c148693d1aa4cdd90d0b3f1690b98f697fb7e6b072e0ef?w=180&h=236&fit=min&auto=format
